#    L    TT             EE             BB             TE             PP             TP             EP          
   206   0.552356E+04   0.647983E+00   0.114448E-02  -0.612508E+01   0.499366E-07   0.137634E-03  -0.234840E-06
   207   0.553206E+04   0.653428E+00   0.114185E-02  -0.477024E+01   0.496822E-07   0.136497E-03  -0.219791E-06
   208   0.553983E+04   0.659940E+00   0.113984E-02  -0.339723E+01   0.494300E-07   0.135369E-03  -0.204817E-06
   209   0.554701E+04   0.667541E+00   0.113842E-02  -0.200641E+01   0.491798E-07   0.134249E-03  -0.189917E-06
   210   0.555360E+04   0.676282E+00   0.113756E-02  -0.598668E+00   0.489317E-07   0.133138E-03  -0.175093E-06
   211   0.555960E+04   0.686191E+00   0.113725E-02   0.825955E+00   0.486856E-07   0.132035E-03  -0.160342E-06
   212   0.556486E+04   0.697297E+00   0.113745E-02   0.226653E+01   0.484415E-07   0.130941E-03  -0.145667E-06
   213   0.556961E+04   0.709644E+00   0.113815E-02   0.372312E+01   0.481995E-07   0.129856E-03  -0.131065E-06
   214   0.557370E+04   0.723224E+00   0.113931E-02   0.519453E+01   0.479594E-07   0.128779E-03  -0.116538E-06
   215   0.557720E+04   0.738228E+00   0.114092E-02   0.668002E+01   0.477212E-07   0.127710E-03  -0.102085E-06
   216   0.558003E+04   0.754470E+00   0.114295E-02   0.818013E+01   0.474850E-07   0.126650E-03  -0.877050E-07
   217   0.558235E+04   0.772106E+00   0.114538E-02   0.969287E+01   0.472508E-07   0.125597E-03  -0.733991E-07
   218   0.558400E+04   0.791133E+00   0.114818E-02   0.112185E+02   0.470184E-07   0.124553E-03  -0.591666E-07
   219   0.558507E+04   0.811552E+00   0.115132E-02   0.127579E+02   0.467879E-07   0.123517E-03  -0.450074E-07
   220   0.558554E+04   0.833509E+00   0.115479E-02   0.143067E+02   0.465592E-07   0.122489E-03  -0.309214E-07
   221   0.558543E+04   0.856930E+00   0.115856E-02   0.158672E+02   0.463325E-07   0.121470E-03  -0.169084E-07
   222   0.558472E+04   0.881962E+00   0.116261E-02   0.174378E+02   0.461075E-07   0.120458E-03  -0.296822E-08
   223   0.558328E+04   0.908530E+00   0.116690E-02   0.190193E+02   0.458843E-07   0.119454E-03   0.108992E-07
   224   0.558139E+04   0.936633E+00   0.117143E-02   0.206081E+02   0.456630E-07   0.118458E-03   0.246941E-07
   225   0.557884E+04   0.966418E+00   0.117615E-02   0.222070E+02   0.454434E-07   0.117470E-03   0.384165E-07
   226   0.557570E+04   0.997885E+00   0.118106E-02   0.238124E+02   0.452255E-07   0.116489E-03   0.520667E-07
   227   0.557189E+04   0.103103E+01   0.118611E-02   0.254258E+02   0.450094E-07   0.115517E-03   0.656448E-07
   228   0.556757E+04   0.106586E+01   0.119130E-02   0.270457E+02   0.447950E-07   0.114552E-03   0.791509E-07
   229   0.556266E+04   0.110244E+01   0.119660E-02   0.286707E+02   0.445823E-07   0.113594E-03   0.925852E-07
