#    L    TT             EE             BB             TE          
   336   0.280358E+04   0.152837E+02   0.302682E-01   0.104267E+03
   337   0.277458E+04   0.154532E+02   0.303733E-01   0.103285E+03
   338   0.274579E+04   0.156206E+02   0.304779E-01   0.102281E+03
   339   0.271736E+04   0.157880E+02   0.305821E-01   0.101241E+03
   340   0.268916E+04   0.159531E+02   0.306858E-01   0.100180E+03
   341   0.266117E+04   0.161161E+02   0.307892E-01   0.990740E+02
   342   0.263354E+04   0.162791E+02   0.308921E-01   0.979394E+02
   343   0.260621E+04   0.164392E+02   0.309946E-01   0.967759E+02
   344   0.257924E+04   0.165978E+02   0.310968E-01   0.955832E+02
   345   0.255249E+04   0.167543E+02   0.311986E-01   0.943616E+02
   346   0.252610E+04   0.169100E+02   0.313000E-01   0.931183E+02
   347   0.250000E+04   0.170628E+02   0.314012E-01   0.918386E+02
   348   0.247427E+04   0.172135E+02   0.315020E-01   0.905297E+02
   349   0.244882E+04   0.173627E+02   0.316026E-01   0.891918E+02
   350   0.242374E+04   0.175089E+02   0.317029E-01   0.878323E+02
   351   0.239916E+04   0.176538E+02   0.318030E-01   0.864436E+02
   352   0.237473E+04   0.177965E+02   0.319028E-01   0.850259E+02
   353   0.235073E+04   0.179363E+02   0.320024E-01   0.835939E+02
   354   0.232703E+04   0.180739E+02   0.321019E-01   0.821253E+02
   355   0.230375E+04   0.182093E+02   0.322012E-01   0.806350E+02
   356   0.228084E+04   0.183426E+02   0.323003E-01   0.791304E+02
   357   0.225830E+04   0.184730E+02   0.323993E-01   0.775966E+02
   358   0.223619E+04   0.185997E+02   0.324982E-01   0.760485E+02
   359   0.221436E+04   0.187243E+02   0.325970E-01   0.744711E+02
   360   0.219298E+04   0.188467E+02   0.326957E-01   0.728757E+02
   361   0.217195E+04   0.189662E+02   0.327944E-01   0.712578E+02
   362   0.215137E+04   0.190828E+02   0.328931E-01   0.696203E+02
   363   0.213114E+04   0.191973E+02   0.329918E-01   0.679653E+02
   364   0.211135E+04   0.193074E+02   0.330904E-01   0.662893E+02
   365   0.209193E+04   0.194154E+02   0.331891E-01   0.645981E+02
   366   0.207294E+04   0.195205E+02   0.332878E-01   0.628887E+02
   367   0.205438E+04   0.196212E+02   0.333866E-01   0.611634E+02
   368   0.203612E+04   0.197197E+02   0.334855E-01   0.594235E+02
   369   0.201844E+04   0.198154E+02   0.335844E-01   0.576670E+02
   370   0.200112E+04   0.199075E+02   0.336835E-01   0.558989E+02
   371   0.198417E+04   0.199959E+02   0.337828E-01   0.541154E+02
   372   0.196765E+04   0.200815E+02   0.338821E-01   0.523212E+02
   373   0.195157E+04   0.201634E+02   0.339817E-01   0.505131E+02
   374   0.193592E+04   0.202425E+02   0.340814E-01   0.486948E+02
   375   0.192064E+04   0.203180E+02   0.341813E-01   0.468664E+02
   376   0.190587E+04   0.203906E+02   0.342815E-01   0.450278E+02
   377   0.189154E+04   0.204588E+02   0.343818E-01   0.431820E+02
   378   0.187757E+04   0.205235E+02   0.344825E-01   0.413260E+02
   379   0.186403E+04   0.205852E+02   0.345834E-01   0.394642E+02
   380   0.185101E+04   0.206442E+02   0.346845E-01   0.375943E+02
   381   0.183835E+04   0.206965E+02   0.347860E-01   0.357193E+02
   382   0.182605E+04   0.207475E+02   0.348878E-01   0.338400E+02
   383   0.181426E+04   0.207942E+02   0.349899E-01   0.319549E+02
   384   0.180299E+04   0.208365E+02   0.350924E-01   0.300675E+02
   385   0.179200E+04   0.208767E+02   0.351952E-01   0.281764E+02
   386   0.178153E+04   0.209125E+02   0.352984E-01   0.262839E+02
   387   0.177142E+04   0.209441E+02   0.354020E-01   0.243899E+02
   388   0.176174E+04   0.209720E+02   0.355060E-01   0.224958E+02
   389   0.175250E+04   0.209942E+02   0.356104E-01   0.206017E+02
   390   0.174371E+04   0.210157E+02   0.357153E-01   0.187097E+02
   391   0.173534E+04   0.210322E+02   0.358206E-01   0.168184E+02
   392   0.172735E+04   0.210465E+02   0.359264E-01   0.149306E+02
   393   0.171986E+04   0.210558E+02   0.360326E-01   0.130456E+02
